SiteCode,LA2000ok,daily
ALE,FALSE,1
ASP,TRUE,1
BAR,TRUE,1
BER,FALSE,0
BIL,TRUE,1
BON,TRUE,1
BOS,TRUE,1
BOU,TRUE,1
BRB,TRUE,1
CAB,TRUE,1
CAM,FALSE,0
CAR,TRUE,1
CLH,TRUE,1
CNR,TRUE,1
COC,FALSE,0
DAA,TRUE,1
DAR,TRUE,1
DOM,TRUE,1
DRA,TRUE,1
E13,TRUE,1
EUR,TRUE,1
FLO,TRUE,1
FPE,TRUE,1
FUA,TRUE,1
GCR,TRUE,1
GVN,TRUE,1
ILO,FALSE,1
ISH,FALSE,0
IZA,TRUE,1
KWA,FALSE,0
LAU,TRUE,1
LER,FALSE,0
LIN,TRUE,1
MAN,FALSE,0
MNM,TRUE,1
NAU,FALSE,0
NYA,TRUE,1
PAL,TRUE,1
PAY,TRUE,1
PSU,TRUE,1
PTR,TRUE,1
REG,TRUE,1
SAP,TRUE,1
SBO,TRUE,1
SMS,TRUE,1
SOV,FALSE,1
SPO,FALSE,0
SXF,TRUE,1
SYO,TRUE,1
TAM,TRUE,1
TAT,TRUE,1
TIK,TRUE,1
TOR,TRUE,1
XIA,TRUE,1
